Player_id,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
564,Aaron Wiggins,OKC,25,78,55,23,15.7,6.9,2.7,4.8,56.2,0.8,1.6,49.2,0.7,0.9,78.9,0.8,1.6,2.4,1.1,0.7,0.7,0.2,1.2,13.6,0,0,1.2
37,Christian Wood,LAL,28,50,28,22,17.4,6.9,2.5,5.3,46.6,0.7,2.3,30.7,1.3,1.9,70.2,0.8,4.3,5.1,1,1,0.3,0.7,1.4,16.4,2,0,0.1
555,Bones Hyland,LAC,23,37,20,17,14.6,6.9,2.6,6.8,38.6,1.2,3.6,32.6,0.5,0.6,78.3,0.1,1.4,1.5,2.5,1.2,0.7,0.1,1.4,13.7,1,0,-1.8
186,Gary Harris,ORL,29,54,35,19,24,6.9,2.4,5.5,44.1,1.4,3.8,37.1,0.6,0.8,75.6,0.4,1.2,1.7,1.6,0.6,0.9,0.3,1.7,14.3,0,0,1.7
296,Killian Hayes,DET,22,42,7,35,24,6.9,2.8,6.7,41.3,0.5,1.8,29.7,0.8,1.2,66,0.3,2.6,2.8,4.9,1.2,0.9,0.5,1.8,20.4,0,0,-5.8
65,Evan Fournier,DET,31,32,8,24,18.1,6.9,2.5,6.9,35.7,1,4.1,25.4,0.9,1.1,80.6,0.2,1.7,1.8,1.5,0.7,0.9,0.2,1.5,14,0,0,-4.4
809,Maozinha Pereira,MEM,23,7,2,5,17.4,6.9,2.6,5,51.4,0.7,1.9,38.5,1,1.4,70,1.6,3.7,5.3,0.3,0.7,0.9,0.6,1.4,17.2,1,0,1.3
572,Trendon Watford,BKN,23,63,25,38,13.6,6.9,2.6,4.9,52.7,0.4,1.1,39.7,1.2,1.5,79.4,0.8,2.3,3.1,1.3,1,0.4,0.3,1.7,13.5,1,0,-1.2
810,Cason Wallace,OKC,20,82,57,25,20.6,6.8,2.6,5.4,49.1,1.2,2.9,41.9,0.4,0.5,78.4,0.6,1.6,2.3,1.5,0.5,0.9,0.5,1.6,15.4,0,0,1.5
811,Trey Jemison III,MEM,24,25,5,20,23,6.8,3,5.4,55.1,0,0,0,0.8,1,84,2.6,2.8,5.4,1.1,1.4,0.5,1.1,2.8,18.3,1,0,-4.4
242,Robert Williams III,POR,26,6,2,4,19.8,6.8,2.8,4.3,65.4,0,0,0,1.2,1.5,77.8,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,21.5,0,0,-5
707,Julian Champagnie,SAS,23,74,19,55,19.8,6.8,2.2,5.4,40.8,1.4,3.7,36.5,1,1.2,81.5,0.6,2.2,2.8,1.4,0.8,0.6,0.6,1,15.1,0,0,-1.9
588,Day'Ron Sharpe,BKN,22,61,25,36,15.1,6.8,2.8,4.8,57.1,0.1,0.2,26.7,1.2,2,61,2.6,3.7,6.4,1.4,1.1,0.4,0.7,2.1,18.7,6,0,1
176,Cedi Osman,SAS,29,72,17,55,17.6,6.8,2.6,5.3,47.9,1.2,3.1,38.9,0.5,0.7,67.3,0.3,2.2,2.5,1.7,0.7,0.5,0.2,1.5,13.6,0,0,-4.9
726,Jonathan Isaac,ORL,26,58,35,23,15.8,6.8,2.5,4.9,51,0.7,1.9,37.5,1,1.4,72,1.3,3.2,4.5,0.5,0.5,0.7,1.2,1.1,18.3,0,0,3.1
148,Davis Bertans,CHA,31,43,20,23,15.7,6.7,2.1,5.4,39.3,1.8,4.7,38,0.7,0.8,90.9,0.2,1.2,1.4,0.8,0.4,0.6,0.3,1.3,11.9,0,0,-1.7
445,Jahmi'us Ramsey,TOR,23,7,0,7,17.3,6.7,2.6,5.9,43.9,0.9,3.1,27.3,0.7,0.9,83.3,0.6,2.6,3.1,1.1,1,1,0,1.4,14.2,0,0,-4
745,Peyton Watson,DEN,21,80,56,24,18.6,6.7,2.6,5.6,46.5,0.6,1.9,29.6,0.9,1.3,67,0.7,2.5,3.2,1.1,0.7,0.5,1.1,1.8,16.3,0,0,-0.9
437,Amir Coffey,LAC,27,70,46,24,20.9,6.6,2.4,5,47.2,1,2.6,38,0.9,1,85.9,0.4,1.7,2.1,1.1,0.5,0.6,0.2,1.5,12.7,1,0,-1.3
276,Aaron Holiday,HOU,27,78,39,39,16.3,6.6,2.4,5.3,44.6,1.1,2.8,38.7,0.7,0.8,92.1,0.3,1.3,1.6,1.8,0.7,0.5,0.1,1.6,12.3,0,0,1.1
300,Dennis Smith Jr.,BKN,26,56,19,37,18.9,6.6,2.6,6,43.5,0.6,1.9,29.4,0.8,1,74.1,0.9,2,2.9,3.6,1.2,1.2,0.2,2.2,18.6,3,0,-0.6
717,David Roddy,PHX,23,65,25,40,18.1,6.5,2.5,6.3,40.3,0.7,2.5,29.3,0.7,1,69.1,0.8,2.4,3.2,1.2,0.9,0.4,0.2,1.1,13.2,0,0,-3.5
164,Jeff Green,HOU,37,78,39,39,16.8,6.5,2.1,4.7,45.6,0.7,2.1,33.1,1.6,1.9,81.9,0.6,1.7,2.3,0.9,0.6,0.2,0.4,1.3,11.8,0,0,-1
320,Chimezie Metu,DET,27,51,24,27,16.8,6.5,2.4,4.8,50.4,0.5,1.8,29.8,1.1,1.3,90.6,0.8,3,3.8,0.9,1,0.8,0.3,1.4,14.9,1,0,-2.1
600,David Duke Jr.,SAS,24,4,3,1,12.8,6.5,2.5,4.5,55.6,0.8,1.5,50,0.8,0.8,100,0.5,2,2.5,1.3,0.8,0.5,0,1,12.1,0,0,1.5
689,Jordan Goodwin,MEM,25,57,30,27,18.5,6.5,2.5,6.7,36.9,0.7,2.5,29.8,0.8,1,74.6,1.5,2.9,4.4,2.7,1,0.8,0.3,1.3,18.4,4,0,-1.6
115,Marcus Morris Sr.,CLE,34,49,26,23,16.7,6.4,2.4,5.4,43.9,1,2.4,40.3,0.7,0.9,81.8,0.5,2.3,2.7,0.7,0.6,0.3,0.3,1.5,11.9,0,0,-1.2
107,Chris Boucher,TOR,31,50,16,34,14.1,6.4,2.2,4.3,50.7,0.6,1.9,33,1.4,1.8,77.2,1.2,2.9,4.1,0.5,0.6,0.3,0.5,1.4,13.8,0,0,0.6
135,Kyle Anderson,MIN,30,79,55,24,22.6,6.4,2.5,5.5,46,0.1,0.6,22.9,1.2,1.7,70.8,0.8,2.7,3.5,4.2,1.2,0.9,0.6,1.6,20.2,0,0,2.1
565,Isaiah Jackson,IND,22,60,37,23,12.8,6.4,2.6,3.9,66.5,0,0.1,0,1.2,1.7,71.6,1.6,2.4,4,0.8,0.7,0.6,1,2.3,16.5,4,0,0.5
615,Jared Butler,WAS,23,40,6,34,14.1,6.3,2.5,5,48.8,0.6,2,30.8,0.8,0.9,86.1,0.2,1.2,1.5,3.2,1.3,0.7,0.2,1.5,14.3,1,0,-1.2
505,Bruno Fernando,ATL,25,45,20,25,15.2,6.3,2.4,4.2,58.3,0,0.1,0,1.4,2.1,66.7,1.3,3,4.3,1,1,0.6,0.6,2.4,15.5,0,0,-2.1
192,Daniel Theis,LAC,32,60,38,22,16.9,6.3,2.6,4.9,53.2,0.4,1.2,36.6,0.6,0.8,76,1.4,2.7,4.1,1,0.7,0.4,0.9,2.1,15.6,1,0,1
184,Jae Crowder,MIL,33,50,25,25,23.1,6.2,2.3,5.4,42.2,1.2,3.3,34.9,0.5,0.7,72.2,0.6,2.6,3.2,1.3,0.5,0.8,0.2,1.5,14.4,0,0,-1.4
212,Jaylen Nowell,DET,24,13,3,10,16.4,6.2,2.6,6,43.6,0.5,2.2,20.7,0.5,0.7,77.8,0.5,1.4,1.8,1.5,0.5,0.3,0.2,1.2,11.5,0,0,-2.5
575,Keon Johnson,BKN,22,5,0,5,12.3,6.2,1.6,4.2,38.1,0.8,2,40,2.2,2.4,91.7,0.6,0.8,1.4,0.6,1,0.6,0.2,1,10.2,0,0,-5
263,Patrick Beverley,MIL,35,73,43,30,20,6.2,2.2,5.2,41.7,0.8,2.5,33.7,1,1.2,82.2,0.7,2.6,3.3,2.9,0.9,0.6,0.4,1.8,16.6,2,0,-0.8
633,Haywood Highsmith,MIA,27,66,39,27,20.7,6.1,2.3,5,46.5,1.2,2.9,39.6,0.3,0.5,63.9,1,2.2,3.2,1.1,0.5,0.8,0.5,1.8,14.8,0,0,0.1
586,Vít Krejčí,ATL,24,22,9,13,24.6,6.1,2.3,4.7,49,1.3,3.1,41.2,0.2,0.3,83.3,0.5,1.9,2.4,2.3,0.9,0.6,0.3,2.2,14.1,0,0,0
99,Ben Simmons,BKN,27,15,7,8,23.9,6.1,2.9,4.9,58.1,0,0,0,0.4,1,40,2.1,5.9,7.9,5.7,1.8,0.8,0.6,2.4,26.7,3,0,-2.5
812,Kris Murray,POR,23,62,12,50,21.7,6.1,2.3,5.9,39.6,0.8,3,26.8,0.6,0.9,66.1,1.4,2.2,3.6,1.3,0.9,0.9,0.3,1.5,15,1,0,-2.6
552,Zavier Simpson,MEM,27,7,1,6,23.1,6,2.4,7.7,31.5,0.7,2.4,29.4,0.4,0.6,75,0.6,2.3,2.9,3.6,1.4,1,0.4,1.6,17.6,0,0,-4.1
813,Tosan Evbuomwan,DET,23,17,1,16,21.6,5.9,2.1,4.2,50.7,0.7,1.9,37.5,1,1.5,68,1.1,2.5,3.5,0.9,0.5,0.4,0.3,1.4,13,0,0,-7.5
634,Justin Champagnie,WAS,23,15,3,12,15.7,5.9,2.1,5.2,41,0.9,3,28.9,0.8,1,80,1.3,2.3,3.5,1.3,0.7,0.7,0.6,0.9,15.2,0,0,-3.9
814,Nick Smith Jr.,CHA,20,51,9,42,14.3,5.9,2.2,5.7,39.1,1.2,2.9,43.2,0.3,0.3,86.7,0.4,1.1,1.4,1.2,0.8,0.2,0.1,1.1,9.6,0,0,-3.8
715,Ochai Agbaji,TOR,24,78,31,47,21,5.8,2.3,5.6,41.1,0.8,2.7,29.4,0.5,0.7,66.1,0.9,1.8,2.8,1.1,0.8,0.6,0.6,1.5,13.4,0,0,-3.2
739,Dyson Daniels,NOP,21,61,34,27,22.3,5.8,2.3,5.1,44.7,0.7,2.2,31.1,0.6,0.9,64.2,1,2.9,3.9,2.7,1,1.4,0.4,1.7,18.9,1,0,1.2
815,Noah Clowney,BKN,19,23,10,13,16.1,5.8,2.2,4,53.8,0.5,1.4,36.4,0.9,1.3,70,1.1,2.4,3.5,0.8,0.7,0.3,0.7,1.1,13.7,1,0,-2.3
201,Larry Nance Jr.,NOP,31,61,34,27,19.9,5.7,2.3,4,57.3,0.4,1.1,41.5,0.8,1,77,1.5,3.5,5,1.9,0.8,1,0.3,1.6,17.7,2,0,1.2
345,Torrey Craig,CHI,33,53,22,31,19.8,5.7,2,4.7,43,1.1,2.9,39.2,0.5,0.7,75,1.3,2.8,4.1,1.1,0.6,0.6,0.4,2.1,14.6,1,0,-3.4
118,Danilo Gallinari,MIL,35,49,15,34,12.8,5.7,1.7,3.9,43.7,0.6,1.9,32.3,1.7,2,85.7,0.4,1.8,2.2,1.1,0.5,0.3,0.1,1,10.8,0,0,-2
97,Thomas Bryant,MIA,26,38,22,16,11.6,5.7,2.3,3.9,57.7,0.1,0.6,18.2,1.1,1.2,87.2,1.1,2.7,3.7,0.6,0.6,0.3,0.4,1.2,12.6,2,0,0.3
294,Pat Connaughton,MIL,31,76,45,31,22.1,5.6,2,4.6,43.5,1.1,3.1,34.5,0.6,0.8,75.9,0.7,2.5,3.1,2.1,0.6,0.5,0.3,1.3,14.3,0,0,-0.2
816,Craig Porter Jr.,CLE,24,51,30,21,12.7,5.6,2.3,4.5,50.9,0.2,0.7,35.3,0.8,1.1,73.2,0.4,1.7,2.1,2.3,0.9,0.4,0.3,0.8,12.9,0,0,-0.5
234,Mitchell Robinson,NYK,26,31,19,12,24.8,5.6,2.4,4.1,57.5,0,0,0,0.9,2.1,40.9,4.6,3.9,8.5,0.6,0.8,1.2,1.1,1.8,22.8,2,0,0.4
264,Malachi Flynn,DET,26,69,28,41,12.7,5.5,2,4.7,41.8,0.8,2.4,33.1,0.8,1,73.2,0.3,1.3,1.7,1.9,0.9,0.6,0.1,1,11.4,0,0,-2.6
817,Dexter Dennis,DAL,25,4,1,3,7.5,5.5,2.5,4.8,52.6,0.3,2,12.5,0.3,0.8,33.3,0.3,2,2.3,1,0.8,0,0.3,0.3,9.7,0,0,-2.3
625,Neemias Queta,BOS,24,28,24,4,11.9,5.5,2.4,3.7,64.4,0,0,0,0.7,1,71.4,1.9,2.5,4.4,0.7,0.5,0.5,0.8,1.8,15,2,0,4.8
109,Doug McDermott,IND,32,64,22,42,14.1,5.5,1.9,4.4,43.3,1.5,3.6,41,0.2,0.3,57.9,0.2,0.8,0.9,1.1,0.4,0.3,0,1,8.6,0,0,-2.2
466,Gary Payton II,GSW,31,44,27,17,15.5,5.5,2.3,4.2,56.3,0.5,1.3,36.4,0.3,0.5,60.9,1,1.5,2.6,1.1,0.6,0.9,0.4,1.8,13.4,0,0,1.9
417,Matisse Thybulle,POR,27,65,18,47,22.9,5.4,1.9,4.9,39.7,1.2,3.6,34.6,0.3,0.4,75.9,0.5,1.6,2.1,1.4,0.6,1.7,0.8,1.4,16.9,0,0,-3.6
773,Keon Ellis,SAC,24,57,33,24,17.2,5.4,1.9,4.1,46.1,1.2,2.9,41.7,0.5,0.6,74.3,0.6,1.6,2.2,1.5,0.6,0.9,0.5,2,13.8,0,0,1.6
624,Matt Ryan,NOP,27,28,14,14,13.9,5.4,1.8,4,43.4,1.5,3.3,45.1,0.5,0.5,92.9,0.2,1.2,1.4,0.6,0.7,0.2,0,1.1,8.2,0,0,0.5
156,Cam Reddish,LAL,24,48,27,21,20.5,5.4,1.9,4.9,38.9,0.8,2.3,33.6,0.9,1.1,75.9,0.6,1.5,2.1,1,0.6,1,0.3,1.3,12.6,0,0,-1
513,Kris Dunn,UTA,30,66,25,41,18.9,5.4,2.2,4.7,47,0.6,1.7,36.9,0.3,0.5,68.8,0.8,2.1,2.9,3.8,1.2,1,0.4,2,17.8,1,0,0.2
818,Ricky Council IV,PHI,22,32,15,17,9,5.4,1.7,3.5,48.2,0.4,1,37.5,1.7,2.2,74.6,0.4,1,1.4,0.5,0.2,0.3,0,0.5,8.6,1,0,0.4
328,Dean Wade,CLE,27,54,36,18,20.5,5.4,1.8,4.3,41.4,1.5,3.7,39.1,0.4,0.5,76.9,0.7,3.4,4,0.8,0.4,0.7,0.5,1.7,14.7,0,0,3.3
819,Sasha Vezenkov,SAC,28,42,22,20,12.2,5.4,2,4.5,44,1.1,2.9,37.5,0.3,0.4,80,0.7,1.6,2.3,0.5,0.3,0.5,0.2,1,10.4,0,0,0
106,Darius Bazley,UTA,24,9,2,7,16.9,5.3,2,3.3,60,0.2,0.9,25,1.1,1.3,83.3,0.9,2.2,3.1,0.8,0.9,0.7,0.8,0.3,13.7,0,0,-3.7
241,Nicolas Batum,PHI,35,60,36,24,25.5,5.3,1.9,4.3,45.3,1.2,3.1,39.5,0.3,0.4,71.4,1.2,3,4.1,2.1,0.7,0.8,0.6,1.8,17.1,0,0,3
177,Mason Plumlee,LAC,34,46,29,17,14.7,5.3,1.9,3.3,56.9,0,0.1,0,1.5,2.2,70.7,1.3,3.8,5.1,1.2,0.8,0.3,0.4,1.5,14.4,2,0,0.2
432,Luke Kornet,BOS,28,63,48,15,15.6,5.3,2.3,3.2,70,0,0,100,0.8,0.9,90.7,1.9,2.3,4.1,1.1,0.3,0.4,1,1.2,15.5,1,0,3.5
766,Stanley Umude,DET,25,24,4,20,12.8,5.3,1.5,3.5,44,1,2.2,45.3,1.2,1.3,90.6,0.3,1.8,2.1,0.5,0.6,0.3,0.3,1.7,9.8,0,0,-3.1
551,Davion Mitchell,SAC,25,72,41,31,15.3,5.3,2,4.5,45.2,0.8,2.2,36.1,0.4,0.6,71.4,0.3,1.1,1.3,1.9,0.6,0.2,0,1.2,9.9,0,0,-0.6
306,Xavier Tillman,BOS,25,54,30,24,18,5.3,2.2,5.2,43.4,0.4,1.5,24.7,0.4,0.9,44,1.3,2.6,3.9,1.4,0.6,0.9,0.8,1.4,16.7,2,0,-1.1
578,Brandon Boston,LAC,22,32,17,15,10.8,5.2,2,5,40.4,0.4,1.6,26.9,0.7,1,69.7,0.6,1,1.6,0.4,0.8,0.3,0.3,1.3,8.8,0,0,-3.5
238,Aleksej Pokusevski,CHA,22,28,14,14,14.5,5.2,1.8,4.3,40.5,0.6,2,32.7,1.1,1.5,73.2,0.6,2.6,3.2,1.3,0.7,0.5,0.5,0.8,13.2,0,0,-2.6
481,Bol Bol,PHX,24,43,28,15,10.9,5.2,2.2,3.5,61.6,0.5,1.2,42.3,0.3,0.4,78.9,0.7,2.4,3.2,0.4,0.4,0.2,0.6,1,11.6,1,0,0.3
350,Jarred Vanderbilt,LAL,25,29,14,15,20,5.2,2,3.9,51.8,0.3,0.9,29.6,0.8,1.2,66.7,1.4,3.3,4.8,1.2,1,1.2,0.2,1.5,16,0,0,1.5
134,Seth Curry,CHA,33,44,25,19,14,5.1,1.8,4.6,39.2,0.9,2.5,35.2,0.6,0.7,90.3,0.4,1.1,1.5,1,0.5,0.5,0.1,0.9,9.9,0,0,1.4
724,Bryce McGowens,CHA,21,59,11,48,14.9,5.1,1.7,3.9,43.9,0.6,1.7,33.3,1.1,1.4,77.6,0.3,1.4,1.7,0.9,0.5,0.4,0.2,1.3,9.6,0,0,-3.9
330,Drew Eubanks,PHX,27,75,42,33,15.6,5.1,2,3.4,60.1,0,0,100,1,1.2,77.4,1.4,2.9,4.3,0.8,0.8,0.4,0.8,1.5,14.2,0,0,-1.4
364,Goga Bitadze,ORL,24,62,34,28,15.4,5,2,3.4,60.3,0,0.2,14.3,0.9,1.4,65.5,1.8,2.9,4.6,1.3,0.7,0.5,1.2,1.7,16.8,5,0,0.4
360,D.J. Wilson,PHI,28,2,1,1,7.7,5,2,3,66.7,1,1,100,0,0,0,0.5,0.5,1,1,0,0,1,0.5,10.7,0,0,1
779,Kobi Simmons,TOR,26,4,0,4,16.9,5,2.3,5.3,42.9,0.5,2,25,0,0,0,0.3,1.5,1.8,3,0.3,1.5,0.5,1.3,17.4,0,0,-7.8
820,Jalen Wilson,BKN,23,43,14,29,15.5,5,1.8,4.2,42.5,0.6,1.7,32.4,0.9,1.1,82.6,1.1,2,3,1,0.4,0.3,0.1,1.1,10.8,1,0,-0.1
100,Richaun Holmes,WAS,30,40,13,27,13.9,5,2.1,3.7,55.8,0,0.1,33.3,0.9,1.2,72.3,1.8,2.8,4.6,0.6,0.6,0.3,0.5,1.9,13,4,0,-2.3
180,Monté Morris,MIN,29,33,21,12,14.4,5,1.9,4.6,40.5,0.8,2.1,38.6,0.4,0.6,68.4,0.2,1.5,1.7,2.1,0.2,0.6,0.3,0.4,12.5,0,0,2.6
403,Jevon Carter,CHI,28,72,35,37,13.9,5,1.9,5.1,37.8,1.1,3.3,32.9,0.1,0.1,57.1,0.2,0.7,0.8,1.3,0.5,0.5,0.2,1,9.6,1,0,0.4
91,Devonte' Graham,SAS,29,23,8,15,13.6,5,1.7,4.7,35.2,1.1,3.6,30.1,0.6,0.7,81.3,0.2,1.3,1.6,2.1,0.7,0.4,0.1,0.6,10.7,0,0,1
583,Isaiah Livers,DET,25,23,1,22,20.4,5,1.7,5,34.5,1,3.3,28.6,0.5,0.8,66.7,0.7,1.4,2.1,1.1,0.7,0.6,0.2,1.9,10.7,0,0,-8.7
342,Garrison Mathews,ATL,27,66,29,37,15,4.9,1.6,3.4,45.6,1.3,2.9,44,0.5,0.6,81,0.3,1.1,1.4,0.6,0.3,0.3,0.1,1.7,8.4,0,0,-1.5
599,Jock Landale,HOU,28,56,28,28,13.6,4.9,1.9,3.7,51.5,0.2,0.7,25,0.9,1.2,80,1.6,1.5,3.1,1.2,0.6,0.4,0.6,1.3,12.6,1,0,2.9
746,Jared Rhoden,DET,24,17,2,15,14.4,4.9,1.9,3.9,50,0.7,1.8,38.7,0.3,0.5,62.5,0.2,1.8,1.9,0.8,0.4,0.2,0.8,1.6,10.9,0,0,-2.3
647,Eugene Omoruyi,WAS,27,43,5,38,9.1,4.8,1.9,3.9,48.5,0.3,1.1,28.3,0.7,1.1,65.3,0.8,1.2,2,0.8,0.5,0.6,0.1,1.4,10.2,1,0,-3.2
680,DeJon Jarreau,MEM,26,9,2,7,16.6,4.8,1.9,5.6,34,0.4,1.4,30.8,0.6,1.2,45.5,0.9,4,4.9,2.9,1,0.7,0.2,1.6,16.6,0,0,-2.7
821,Kobe Bufkin,ATL,20,17,8,9,11.5,4.8,2,5.4,37,0.5,2.4,22.5,0.2,0.5,50,0.4,1.6,1.9,1.6,0.6,0.4,0.3,1.2,11,0,0,-2.1
245,Kenrich Williams,OKC,29,69,49,20,14.9,4.7,1.9,4.1,46.8,0.8,2,39.7,0.1,0.2,50,0.9,2.1,3,1.3,0.5,0.6,0.1,1.5,11.9,0,0,2.2
598,Omer Yurtseven,UTA,26,48,17,31,11.4,4.6,2.1,3.8,53.8,0.1,0.5,20.8,0.4,0.6,67.9,1.5,2.8,4.3,0.6,0.8,0.2,0.4,1.1,11.6,2,0,-2.8
352,Josh Okogie,PHX,25,60,37,23,16,4.6,1.4,3.4,41.7,0.5,1.6,30.9,1.3,1.7,74.5,1.2,1.3,2.6,1.1,0.6,0.8,0.4,1.1,12.3,0,0,0.1
822,Anthony Black,ORL,20,69,39,30,16.9,4.6,1.7,3.6,46.6,0.5,1.4,39.4,0.7,1.2,61.3,0.5,1.5,2,1.3,0.8,0.5,0.3,1.6,10.6,0,0,-0.5
727,Kenneth Lofton Jr.,UTA,21,21,7,14,9.4,4.6,1.7,3.7,46.2,0.3,1.1,29.2,0.8,1.2,65.4,0.6,1.2,1.8,1.6,0.7,0.3,0.2,1.1,10,0,0,-0.5
823,Julian Strawther,DEN,22,50,34,16,10.9,4.5,1.6,4.4,36.9,0.8,2.8,29.7,0.4,0.6,71,0.1,1.1,1.2,0.9,0.5,0.3,0.1,1.1,8.4,0,0,-2.1
405,Kevon Looney,GSW,28,74,43,31,16.1,4.5,1.9,3.1,59.7,0,0,0,0.8,1.1,67.5,1.9,3.7,5.7,1.8,0.7,0.4,0.4,2.1,15.6,1,0,0.5
733,AJ Green,MIL,24,56,35,21,11,4.5,1.5,3.5,42.3,1.2,3,40.8,0.3,0.3,89.5,0.2,1,1.1,0.5,0.2,0.2,0.1,0.9,7.2,0,0,0.9
122,Shake Milton,NYK,27,48,32,16,12.1,4.5,1.6,4.1,40.5,0.4,1.3,28.1,0.8,1,81.6,0.3,1.3,1.6,1.3,0.6,0.4,0.1,1.1,9.2,0,0,-1
824,Taze Moore,POR,26,4,1,3,10.1,4.5,2,4.8,42.1,0.3,1.8,14.3,0.3,0.5,50,1,1,2,1.3,0.8,0.5,0,1,9.5,0,0,-5.5
179,Delon Wright,MIA,32,47,16,31,15.8,4.5,1.6,4,39.4,0.5,1.4,36.8,0.8,1,82.2,0.4,1.4,1.8,2.5,0.3,1.1,0.2,0.7,14.3,0,0,0.3
281,Maxi Kleber,DAL,32,43,27,16,20.3,4.4,1.5,3.4,43.2,0.7,2.1,34.8,0.8,1.1,70.2,0.7,2.6,3.3,1.6,0.7,0.4,0.7,1.8,13.4,1,0,2.9
244,Mo Bamba,PHI,26,57,30,27,13,4.4,1.7,3.5,49,0.4,1.1,39.1,0.6,0.9,68,1.4,2.8,4.2,0.7,0.7,0.4,1.1,1.8,14.2,1,0,-0.8
759,Lester Quinones,GSW,23,37,24,13,10.7,4.4,1.5,3.8,39.7,0.9,2.4,36.4,0.5,0.8,69,0.6,1.4,1.9,1,0.5,0.2,0.1,1.2,8.4,0,0,0.5
488,Jontay Porter,TOR,24,26,6,20,13.8,4.4,1.5,4,38.5,0.8,2.3,33.3,0.6,0.7,83.3,1,2.2,3.2,2.3,0.8,0.8,0.8,1.3,15.5,0,0,-2.8
825,Ben Sheppard,IND,22,57,32,25,14.3,4.4,1.6,4,39.3,0.9,2.7,31.4,0.4,0.5,88.5,0.3,1.3,1.6,0.9,0.3,0.6,0,1.5,9.3,0,0,1.2
736,Patrick Baldwin Jr.,WAS,21,38,6,32,13,4.4,1.6,4.1,38.1,0.8,2.6,32,0.5,0.7,67.9,0.4,2.8,3.2,0.8,0.5,0.5,0.4,1.5,11.6,2,0,-0.6
725,MarJon Beauchamp,MIL,23,48,30,18,12.7,4.4,1.7,3.5,48.8,0.6,1.6,40,0.4,0.6,67.9,0.5,1.6,2.1,0.6,0.6,0.3,0.1,1.1,8.5,0,0,-0.3
728,Blake Wesley,SAS,21,61,19,42,14.4,4.4,1.7,3.5,47.4,0.2,0.9,21.8,0.9,1.3,66.7,0.3,1.2,1.5,2.7,0.9,0.5,0.1,1.5,11.3,0,0,-2.4
229,Robert Covington,PHI,33,29,20,9,16.8,4.4,1.5,3.4,43.9,0.7,1.9,33.9,0.8,0.9,84.6,1.1,2.3,3.3,0.8,0.4,1.3,0.6,1.9,15.2,0,0,3.6
737,Dominick Barlow,SAS,21,33,7,26,12.7,4.4,1.7,3.4,49.6,0.1,0.3,33.3,0.9,1.3,69,1.4,2.1,3.4,1.1,0.3,0.4,0.4,1.4,12.2,0,0,-1
143,Joe Ingles,ORL,36,68,42,26,17.2,4.4,1.5,3.3,43.6,1,2.4,43.5,0.4,0.5,82.4,0.3,1.8,2.1,3,1,0.6,0.1,1.3,12.5,0,0,2.4
371,Bismack Biyombo,OKC,31,40,20,20,19.8,4.4,1.9,3.3,56.5,0,0,0,0.7,1.4,48.1,1.6,3.7,5.2,1.3,1.1,0.3,0.9,2.2,15.2,2,0,-1.6
755,Dru Smith,MIA,26,9,7,2,14.5,4.3,1.7,3.7,45.5,0.8,1.9,41.2,0.2,0.2,100,0.7,0.9,1.6,1.6,0.6,1,0.3,1.3,12,0,0,-4.8
638,Jeff Dowtin Jr.,PHI,27,12,7,5,11.8,4.3,1.7,3,55.6,0.8,1.6,47.4,0.3,0.3,75,0.3,1.4,1.7,2.3,0.4,0.6,0.1,0.1,11.3,0,0,1.8
266,Jaxson Hayes,LAL,24,70,41,29,12.5,4.3,1.8,2.5,72,0,0.1,0,0.7,1.2,62.2,1,2,3,0.5,0.6,0.5,0.4,1.8,10.7,2,0,-1.5
741,Caleb Houstan,ORL,21,59,31,28,13.8,4.3,1.4,3.5,38.8,1.2,3.3,37.3,0.4,0.4,80.8,0.5,0.9,1.4,0.5,0.3,0.3,0.1,1,7.4,0,0,-0.5
400,John Konchar,MEM,28,55,18,37,21.3,4.3,1.6,3.8,42.3,0.7,2.2,31.7,0.4,0.5,84,1.3,3.4,4.7,2,0.8,0.9,0.9,1.4,17.6,1,0,-2.7
748,Max Christie,LAL,21,67,38,29,14.1,4.2,1.5,3.6,42.7,0.6,1.8,35.6,0.5,0.7,78.3,0.2,1.9,2.1,0.9,0.5,0.3,0.3,0.9,9.3,0,0,-0.3
218,Danuel House Jr.,PHI,31,34,21,13,15,4.2,1.4,3.1,44.8,0.4,1.5,30,1,1.4,76.1,0.5,1.2,1.7,0.8,0.6,0.4,0.1,1.3,8.7,0,0,0.6
751,Jacob Gilyard,BKN,25,41,12,29,17,4.2,1.5,3.7,40,1.2,3.1,40.5,0,0,100,0.2,0.9,1.1,3.3,0.7,0.8,0.1,1,12.6,0,0,-4.2
537,Ashton Hagans,POR,24,19,3,16,16.6,4.2,1.5,3.7,40.8,0.4,1.3,32,0.7,0.9,82.4,0.7,1.6,2.4,2.8,1.6,0.6,0.5,2.1,12.9,0,0,-0.2
160,Armoni Brooks,BKN,26,10,3,7,10.4,4.2,1.5,4.6,32.6,1.1,3.2,34.4,0.1,0.2,50,0.7,1.1,1.8,0.5,0.3,0.1,0.1,0.3,7.4,0,0,2.8
